Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2017-2021,AK,Alaska,Kenai Peninsula Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,21.3,1.2,58711,02122,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-152.0526403 60.360766),110,
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,7.7,0.8,7776,02188,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,89.8,1.3,7776,02188,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Lake and Peninsula Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,11.9,0.8,986,02164,SDOH,CROWD,Percent,Crowding,POINT (-156.4134134 58.1085067),113,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Single-parent households,%,Percentage,4.4,3.3,7015,02063,SDOH,SNGPNT,Percent,Single-parent households,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,Sitka City and Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,15.8,0.3,8518,02220,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-135.3673965 57.1932044),118,
2017-2021,AK,Alaska,Anchorage Municipality,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,15.1,1,292545,02020,SDOH,POV150,Percent,Poverty,POINT (-149.2843294 61.1742503),1669,51
2017-2021,AK,Alaska,Fairbanks North Star Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,26.3,2.3,97149,02090,SDOH,HCOST,Percent,Housing cost burden,POINT (-146.5481586 64.6760436),1673,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,13.9,0.3,32240,02110,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-134.1784454 58.3729099),1675,51
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,12.3,1.9,10865,02185,SDOH,NOHSDP,Percent,No high school diploma,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,15.5,5.4,5251,02016,SDOH,HCOST,Percent,Housing cost burden,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Skagway Municipality,5-year ACS,SDOH,Crowding among housing units,%,Percentage,5.4,2.3,1329,02230,SDOH,CROWD,Percent,Crowding,POINT (-135.3382787 59.5603794),1709,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,5.1,1.4,32240,02110,SDOH,UNEMP,Percent,Unemployment,POINT (-134.1784454 58.3729099),1675,51
2017-2021,AK,Alaska,Ketchikan Gateway Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.8,1.2,13939,02130,SDOH,CROWD,Percent,Crowding,POINT (-131.1066847 55.4499378),111,51
2017-2021,AK,Alaska,Wrangell City and Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,18.9,4,2162,02275,SDOH,POV150,Percent,Poverty,POINT (-132.0267878 56.1807793),3,51
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,43.9,3.5,18514,02050,SDOH,POV150,Percent,Poverty,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,21.5,3,32240,02110,SDOH,HCOST,Percent,Housing cost burden,POINT (-134.1784454 58.3729099),1675,51
2017-2021,AK,Alaska,Prince of Wales-Hyder Census Area,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,17.1,2.7,5886,02198,SDOH,HCOST,Percent,Housing cost burden,POINT (-133.1623885 55.6827733),1708,
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,7.4,2.2,6849,02240,SDOH,NOHSDP,Percent,No high school diploma,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Dillingham Census Area,5-year ACS,SDOH,Single-parent households,%,Percentage,13,2.5,4899,02070,SDOH,SNGPNT,Percent,Single-parent households,POINT (-158.2671226 59.5433255),1672,51
2017-2021,AK,Alaska,Yakutat City and Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,2.3,2.9,562,02282,SDOH,SNGPNT,Percent,Single-parent households,POINT (-140.416942 60.0174528),984,51
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,34.7,3.5,7776,02188,SDOH,CROWD,Percent,Crowding,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Chugach Census Area,5-year ACS,SDOH,Crowding among housing units,%,Percentage,5.2,3.2,7015,02063,SDOH,CROWD,Percent,Crowding,POINT (-146.2030924 60.4884737),1,
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,10.6,1,106807,02170,SDOH,BROAD,Percent,No broadband,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,7.5,0.3,18514,02050,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Kodiak Island Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,5.8,2,13218,02150,SDOH,UNEMP,Percent,Unemployment,POINT (-153.9183721 57.7044003),,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,16,48.7,2187,02068,SDOH,BROAD,Percent,No broadband,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Haines Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,20.3,6.4,2098,02100,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-135.5757906 59.0984037),1674,51
